,Common Law,Married,Month,Neighbourhood Name,Neighbourhood Number,Never Married,No Response(Marital),Quarter,Separated/Divorced,Ward,Widowed,Year
0,0,0,1,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,Ward 1,0,2011
0,0,0,2,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,Ward 1,0,2011
0,0,0,3,ALBERTA PARK INDUSTRIAL,4010,0,0,1,0,Ward 1,0,2011
0,0,0,4,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,Ward 1,0,2011
0,0,0,5,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,Ward 1,0,2011
0,0,0,6,ALBERTA PARK INDUSTRIAL,4010,0,0,2,0,Ward 1,0,2011
0,0,0,7,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,Ward 1,0,2011
0,0,0,8,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,Ward 1,0,2011
0,0,0,9,ALBERTA PARK INDUSTRIAL,4010,0,0,3,0,Ward 1,0,2011
0,0,0,10,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,Ward 1,0,2011
0,0,0,11,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,Ward 1,0,2011
0,0,0,12,ALBERTA PARK INDUSTRIAL,4010,0,0,4,0,Ward 1,0,2011
1,273,2099,1,ALDERGROVE,4020,2372,337,1,287,Ward 1,147,2011
1,273,2099,2,ALDERGROVE,4020,2372,337,1,287,Ward 1,147,2011
1,273,2099,3,ALDERGROVE,4020,2372,337,1,287,Ward 1,147,2011
1,273,2099,4,ALDERGROVE,4020,2372,337,2,287,Ward 1,147,2011
1,273,2099,5,ALDERGROVE,4020,2372,337,2,287,Ward 1,147,2011
1,273,2099,6,ALDERGROVE,4020,2372,337,2,287,Ward 1,147,2011
1,273,2099,7,ALDERGROVE,4020,2372,337,3,287,Ward 1,147,2011
1,273,2099,8,ALDERGROVE,4020,2372,337,3,287,Ward 1,147,2011
1,273,2099,9,ALDERGROVE,4020,2372,337,3,287,Ward 1,147,2011
1,273,2099,10,ALDERGROVE,4020,2372,337,4,287,Ward 1,147,2011
1,273,2099,11,ALDERGROVE,4020,2372,337,4,287,Ward 1,147,2011
1,273,2099,12,ALDERGROVE,4020,2372,337,4,287,Ward 1,147,2011
2,0,0,1,ANTHONY HENDAY,4011,0,0,1,0,Ward 1,0,2011
2,0,0,2,ANTHONY HENDAY,4011,0,0,1,0,Ward 1,0,2011
2,0,0,3,ANTHONY HENDAY,4011,0,0,1,0,Ward 1,0,2011
2,0,0,4,ANTHONY HENDAY,4011,0,0,2,0,Ward 1,0,2011
2,0,0,5,ANTHONY HENDAY,4011,0,0,2,0,Ward 1,0,2011
2,0,0,6,ANTHONY HENDAY,4011,0,0,2,0,Ward 1,0,2011
2,0,0,7,ANTHONY HENDAY,4011,0,0,3,0,Ward 1,0,2011
2,0,0,8,ANTHONY HENDAY,4011,0,0,3,0,Ward 1,0,2011
2,0,0,9,ANTHONY HENDAY,4011,0,0,3,0,Ward 1,0,2011
2,0,0,10,ANTHONY HENDAY,4011,0,0,4,0,Ward 1,0,2011
2,0,0,11,ANTHONY HENDAY,4011,0,0,4,0,Ward 1,0,2011
2,0,0,12,ANTHONY HENDAY,4011,0,0,4,0,Ward 1,0,2011
3,0,0,1,ARMSTRONG INDUSTRIAL,4030,0,125,1,0,Ward 1,0,2011
3,0,0,2,ARMSTRONG INDUSTRIAL,4030,0,125,1,0,Ward 1,0,2011
3,0,0,3,ARMSTRONG INDUSTRIAL,4030,0,125,1,0,Ward 1,0,2011
3,0,0,4,ARMSTRONG INDUSTRIAL,4030,0,125,2,0,Ward 1,0,2011
3,0,0,5,ARMSTRONG INDUSTRIAL,4030,0,125,2,0,Ward 1,0,2011
3,0,0,6,ARMSTRONG INDUSTRIAL,4030,0,125,2,0,Ward 1,0,2011
3,0,0,7,ARMSTRONG INDUSTRIAL,4030,0,125,3,0,Ward 1,0,2011
3,0,0,8,ARMSTRONG INDUSTRIAL,4030,0,125,3,0,Ward 1,0,2011
3,0,0,9,ARMSTRONG INDUSTRIAL,4030,0,125,3,0,Ward 1,0,2011
3,0,0,10,ARMSTRONG INDUSTRIAL,4030,0,125,4,0,Ward 1,0,2011
3,0,0,11,ARMSTRONG INDUSTRIAL,4030,0,125,4,0,Ward 1,0,2011
3,0,0,12,ARMSTRONG INDUSTRIAL,4030,0,125,4,0,Ward 1,0,2011
4,205,1713,1,BELMEAD,4040,1852,439,1,277,Ward 1,117,2011
4,205,1713,2,BELMEAD,4040,1852,439,1,277,Ward 1,117,2011
4,205,1713,3,BELMEAD,4040,1852,439,1,277,Ward 1,117,2011
4,205,1713,4,BELMEAD,4040,1852,439,2,277,Ward 1,117,2011
4,205,1713,5,BELMEAD,4040,1852,439,2,277,Ward 1,117,2011
4,205,1713,6,BELMEAD,4040,1852,439,2,277,Ward 1,117,2011
4,205,1713,7,BELMEAD,4040,1852,439,3,277,Ward 1,117,2011
4,205,1713,8,BELMEAD,4040,1852,439,3,277,Ward 1,117,2011
4,205,1713,9,BELMEAD,4040,1852,439,3,277,Ward 1,117,2011
4,205,1713,10,BELMEAD,4040,1852,439,4,277,Ward 1,117,2011
4,205,1713,11,BELMEAD,4040,1852,439,4,277,Ward 1,117,2011
4,205,1713,12,BELMEAD,4040,1852,439,4,277,Ward 1,117,2011
5,80,861,1,BRECKENRIDGE GREENS,4700,678,148,1,99,Ward 1,45,2011
5,80,861,2,BRECKENRIDGE GREENS,4700,678,148,1,99,Ward 1,45,2011
5,80,861,3,BRECKENRIDGE GREENS,4700,678,148,1,99,Ward 1,45,2011
5,80,861,4,BRECKENRIDGE GREENS,4700,678,148,2,99,Ward 1,45,2011
5,80,861,5,BRECKENRIDGE GREENS,4700,678,148,2,99,Ward 1,45,2011
5,80,861,6,BRECKENRIDGE GREENS,4700,678,148,2,99,Ward 1,45,2011
5,80,861,7,BRECKENRIDGE GREENS,4700,678,148,3,99,Ward 1,45,2011
5,80,861,8,BRECKENRIDGE GREENS,4700,678,148,3,99,Ward 1,45,2011
5,80,861,9,BRECKENRIDGE GREENS,4700,678,148,3,99,Ward 1,45,2011
5,80,861,10,BRECKENRIDGE GREENS,4700,678,148,4,99,Ward 1,45,2011
5,80,861,11,BRECKENRIDGE GREENS,4700,678,148,4,99,Ward 1,45,2011
5,80,861,12,BRECKENRIDGE GREENS,4700,678,148,4,99,Ward 1,45,2011
6,401,1222,1,BRITANNIA YOUNGSTOWN,4060,1842,724,1,401,Ward 1,169,2011
6,401,1222,2,BRITANNIA YOUNGSTOWN,4060,1842,724,1,401,Ward 1,169,2011
6,401,1222,3,BRITANNIA YOUNGSTOWN,4060,1842,724,1,401,Ward 1,169,2011
6,401,1222,4,BRITANNIA YOUNGSTOWN,4060,1842,724,2,401,Ward 1,169,2011
6,401,1222,5,BRITANNIA YOUNGSTOWN,4060,1842,724,2,401,Ward 1,169,2011
6,401,1222,6,BRITANNIA YOUNGSTOWN,4060,1842,724,2,401,Ward 1,169,2011
6,401,1222,7,BRITANNIA YOUNGSTOWN,4060,1842,724,3,401,Ward 1,169,2011
6,401,1222,8,BRITANNIA YOUNGSTOWN,4060,1842,724,3,401,Ward 1,169,2011
6,401,1222,9,BRITANNIA YOUNGSTOWN,4060,1842,724,3,401,Ward 1,169,2011
6,401,1222,10,BRITANNIA YOUNGSTOWN,4060,1842,724,4,401,Ward 1,169,2011
6,401,1222,11,BRITANNIA YOUNGSTOWN,4060,1842,724,4,401,Ward 1,169,2011
6,401,1222,12,BRITANNIA YOUNGSTOWN,4060,1842,724,4,401,Ward 1,169,2011
7,268,719,1,CANORA,4090,1397,519,1,315,Ward 1,117,2011
7,268,719,2,CANORA,4090,1397,519,1,315,Ward 1,117,2011
7,268,719,3,CANORA,4090,1397,519,1,315,Ward 1,117,2011
7,268,719,4,CANORA,4090,1397,519,2,315,Ward 1,117,2011
7,268,719,5,CANORA,4090,1397,519,2,315,Ward 1,117,2011
7,268,719,6,CANORA,4090,1397,519,2,315,Ward 1,117,2011
7,268,719,7,CANORA,4090,1397,519,3,315,Ward 1,117,2011
7,268,719,8,CANORA,4090,1397,519,3,315,Ward 1,117,2011
7,268,719,9,CANORA,4090,1397,519,3,315,Ward 1,117,2011
7,268,719,10,CANORA,4090,1397,519,4,315,Ward 1,117,2011
7,268,719,11,CANORA,4090,1397,519,4,315,Ward 1,117,2011
7,268,719,12,CANORA,4090,1397,519,4,315,Ward 1,117,2011
8,0,0,1,CARLETON SQUARE INDUSTRIAL,4100,0,0,1,0,Ward 1,0,2011
8,0,0,2,CARLETON SQUARE INDUSTRIAL,4100,0,0,1,0,Ward 1,0,2011
8,0,0,3,CARLETON SQUARE INDUSTRIAL,4100,0,0,1,0,Ward 1,0,2011
8,0,0,4,CARLETON SQUARE INDUSTRIAL,4100,0,0,2,0,Ward 1,0,2011
8,0,0,5,CARLETON SQUARE INDUSTRIAL,4100,0,0,2,0,Ward 1,0,2011
8,0,0,6,CARLETON SQUARE INDUSTRIAL,4100,0,0,2,0,Ward 1,0,2011
8,0,0,7,CARLETON SQUARE INDUSTRIAL,4100,0,0,3,0,Ward 1,0,2011
8,0,0,8,CARLETON SQUARE INDUSTRIAL,4100,0,0,3,0,Ward 1,0,2011
8,0,0,9,CARLETON SQUARE INDUSTRIAL,4100,0,0,3,0,Ward 1,0,2011
8,0,0,10,CARLETON SQUARE INDUSTRIAL,4100,0,0,4,0,Ward 1,0,2011
8,0,0,11,CARLETON SQUARE INDUSTRIAL,4100,0,0,4,0,Ward 1,0,2011
8,0,0,12,CARLETON SQUARE INDUSTRIAL,4100,0,0,4,0,Ward 1,0,2011
9,59,1050,1,CRESTWOOD,3140,702,319,1,99,Ward 1,94,2011
9,59,1050,2,CRESTWOOD,3140,702,319,1,99,Ward 1,94,2011
9,59,1050,3,CRESTWOOD,3140,702,319,1,99,Ward 1,94,2011
9,59,1050,4,CRESTWOOD,3140,702,319,2,99,Ward 1,94,2011
9,59,1050,5,CRESTWOOD,3140,702,319,2,99,Ward 1,94,2011
9,59,1050,6,CRESTWOOD,3140,702,319,2,99,Ward 1,94,2011
9,59,1050,7,CRESTWOOD,3140,702,319,3,99,Ward 1,94,2011
9,59,1050,8,CRESTWOOD,3140,702,319,3,99,Ward 1,94,2011
9,59,1050,9,CRESTWOOD,3140,702,319,3,99,Ward 1,94,2011
9,59,1050,10,CRESTWOOD,3140,702,319,4,99,Ward 1,94,2011
9,59,1050,11,CRESTWOOD,3140,702,319,4,99,Ward 1,94,2011
9,59,1050,12,CRESTWOOD,3140,702,319,4,99,Ward 1,94,2011
10,0,0,1,EDMISTON INDUSTRIAL,4130,0,0,1,0,Ward 1,0,2011
10,0,0,2,EDMISTON INDUSTRIAL,4130,0,0,1,0,Ward 1,0,2011
10,0,0,3,EDMISTON INDUSTRIAL,4130,0,0,1,0,Ward 1,0,2011
10,0,0,4,EDMISTON INDUSTRIAL,4130,0,0,2,0,Ward 1,0,2011
10,0,0,5,EDMISTON INDUSTRIAL,4130,0,0,2,0,Ward 1,0,2011
10,0,0,6,EDMISTON INDUSTRIAL,4130,0,0,2,0,Ward 1,0,2011
10,0,0,7,EDMISTON INDUSTRIAL,4130,0,0,3,0,Ward 1,0,2011
10,0,0,8,EDMISTON INDUSTRIAL,4130,0,0,3,0,Ward 1,0,2011
10,0,0,9,EDMISTON INDUSTRIAL,4130,0,0,3,0,Ward 1,0,2011
10,0,0,10,EDMISTON INDUSTRIAL,4130,0,0,4,0,Ward 1,0,2011
10,0,0,11,EDMISTON INDUSTRIAL,4130,0,0,4,0,Ward 1,0,2011
10,0,0,12,EDMISTON INDUSTRIAL,4130,0,0,4,0,Ward 1,0,2011
11,308,1508,1,GLENWOOD,4180,1864,712,1,429,Ward 1,274,2011
11,308,1508,2,GLENWOOD,4180,1864,712,1,429,Ward 1,274,2011
11,308,1508,3,GLENWOOD,4180,1864,712,1,429,Ward 1,274,2011
11,308,1508,4,GLENWOOD,4180,1864,712,2,429,Ward 1,274,2011
11,308,1508,5,GLENWOOD,4180,1864,712,2,429,Ward 1,274,2011
11,308,1508,6,GLENWOOD,4180,1864,712,2,429,Ward 1,274,2011
11,308,1508,7,GLENWOOD,4180,1864,712,3,429,Ward 1,274,2011
11,308,1508,8,GLENWOOD,4180,1864,712,3,429,Ward 1,274,2011
11,308,1508,9,GLENWOOD,4180,1864,712,3,429,Ward 1,274,2011
11,308,1508,10,GLENWOOD,4180,1864,712,4,429,Ward 1,274,2011
11,308,1508,11,GLENWOOD,4180,1864,712,4,429,Ward 1,274,2011
11,308,1508,12,GLENWOOD,4180,1864,712,4,429,Ward 1,274,2011
12,0,0,1,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,1,0,Ward 1,0,2011
12,0,0,2,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,1,0,Ward 1,0,2011
12,0,0,3,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,1,0,Ward 1,0,2011
12,0,0,4,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,2,0,Ward 1,0,2011
12,0,0,5,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,2,0,Ward 1,0,2011
12,0,0,6,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,2,0,Ward 1,0,2011
12,0,0,7,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,3,0,Ward 1,0,2011
12,0,0,8,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,3,0,Ward 1,0,2011
12,0,0,9,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,3,0,Ward 1,0,2011
12,0,0,10,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,4,0,Ward 1,0,2011
12,0,0,11,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,4,0,Ward 1,0,2011
12,0,0,12,HAWIN PARK ESTATE INDUSTRIAL,4190,0,0,4,0,Ward 1,0,2011
13,0,0,1,HAWKS RIDGE,4473,0,0,1,0,Ward 1,0,2011
13,0,0,2,HAWKS RIDGE,4473,0,0,1,0,Ward 1,0,2011
13,0,0,3,HAWKS RIDGE,4473,0,0,1,0,Ward 1,0,2011
13,0,0,4,HAWKS RIDGE,4473,0,0,2,0,Ward 1,0,2011
13,0,0,5,HAWKS RIDGE,4473,0,0,2,0,Ward 1,0,2011
13,0,0,6,HAWKS RIDGE,4473,0,0,2,0,Ward 1,0,2011
13,0,0,7,HAWKS RIDGE,4473,0,0,3,0,Ward 1,0,2011
13,0,0,8,HAWKS RIDGE,4473,0,0,3,0,Ward 1,0,2011
13,0,0,9,HAWKS RIDGE,4473,0,0,3,0,Ward 1,0,2011
13,0,0,10,HAWKS RIDGE,4473,0,0,4,0,Ward 1,0,2011
13,0,0,11,HAWKS RIDGE,4473,0,0,4,0,Ward 1,0,2011
13,0,0,12,HAWKS RIDGE,4473,0,0,4,0,Ward 1,0,2011
14,88,563,1,HIGH PARK,4200,391,173,1,109,Ward 1,65,2011
14,88,563,2,HIGH PARK,4200,391,173,1,109,Ward 1,65,2011
14,88,563,3,HIGH PARK,4200,391,173,1,109,Ward 1,65,2011
14,88,563,4,HIGH PARK,4200,391,173,2,109,Ward 1,65,2011
14,88,563,5,HIGH PARK,4200,391,173,2,109,Ward 1,65,2011
14,88,563,6,HIGH PARK,4200,391,173,2,109,Ward 1,65,2011
14,88,563,7,HIGH PARK,4200,391,173,3,109,Ward 1,65,2011
14,88,563,8,HIGH PARK,4200,391,173,3,109,Ward 1,65,2011
14,88,563,9,HIGH PARK,4200,391,173,3,109,Ward 1,65,2011
14,88,563,10,HIGH PARK,4200,391,173,4,109,Ward 1,65,2011
14,88,563,11,HIGH PARK,4200,391,173,4,109,Ward 1,65,2011
14,88,563,12,HIGH PARK,4200,391,173,4,109,Ward 1,65,2011
15,55,271,1,JASPER PARK,4230,268,1141,1,59,Ward 1,46,2011
15,55,271,2,JASPER PARK,4230,268,1141,1,59,Ward 1,46,2011
15,55,271,3,JASPER PARK,4230,268,1141,1,59,Ward 1,46,2011
15,55,271,4,JASPER PARK,4230,268,1141,2,59,Ward 1,46,2011
15,55,271,5,JASPER PARK,4230,268,1141,2,59,Ward 1,46,2011
15,55,271,6,JASPER PARK,4230,268,1141,2,59,Ward 1,46,2011
15,55,271,7,JASPER PARK,4230,268,1141,3,59,Ward 1,46,2011
15,55,271,8,JASPER PARK,4230,268,1141,3,59,Ward 1,46,2011
15,55,271,9,JASPER PARK,4230,268,1141,3,59,Ward 1,46,2011
15,55,271,10,JASPER PARK,4230,268,1141,4,59,Ward 1,46,2011
15,55,271,11,JASPER PARK,4230,268,1141,4,59,Ward 1,46,2011
15,55,271,12,JASPER PARK,4230,268,1141,4,59,Ward 1,46,2011
16,8,20,1,KINOKAMAU PLAINS AREA,4475,18,56,1,1,Ward 1,3,2011
16,8,20,2,KINOKAMAU PLAINS AREA,4475,18,56,1,1,Ward 1,3,2011
16,8,20,3,KINOKAMAU PLAINS AREA,4475,18,56,1,1,Ward 1,3,2011
16,8,20,4,KINOKAMAU PLAINS AREA,4475,18,56,2,1,Ward 1,3,2011
16,8,20,5,KINOKAMAU PLAINS AREA,4475,18,56,2,1,Ward 1,3,2011
16,8,20,6,KINOKAMAU PLAINS AREA,4475,18,56,2,1,Ward 1,3,2011
16,8,20,7,KINOKAMAU PLAINS AREA,4475,18,56,3,1,Ward 1,3,2011
16,8,20,8,KINOKAMAU PLAINS AREA,4475,18,56,3,1,Ward 1,3,2011
16,8,20,9,KINOKAMAU PLAINS AREA,4475,18,56,3,1,Ward 1,3,2011
16,8,20,10,KINOKAMAU PLAINS AREA,4475,18,56,4,1,Ward 1,3,2011
16,8,20,11,KINOKAMAU PLAINS AREA,4475,18,56,4,1,Ward 1,3,2011
16,8,20,12,KINOKAMAU PLAINS AREA,4475,18,56,4,1,Ward 1,3,2011
17,242,1656,1,LA PERLE,4240,1946,808,1,334,Ward 1,136,2011
17,242,1656,2,LA PERLE,4240,1946,808,1,334,Ward 1,136,2011
17,242,1656,3,LA PERLE,4240,1946,808,1,334,Ward 1,136,2011
17,242,1656,4,LA PERLE,4240,1946,808,2,334,Ward 1,136,2011
17,242,1656,5,LA PERLE,4240,1946,808,2,334,Ward 1,136,2011
17,242,1656,6,LA PERLE,4240,1946,808,2,334,Ward 1,136,2011
17,242,1656,7,LA PERLE,4240,1946,808,3,334,Ward 1,136,2011
17,242,1656,8,LA PERLE,4240,1946,808,3,334,Ward 1,136,2011
17,242,1656,9,LA PERLE,4240,1946,808,3,334,Ward 1,136,2011
17,242,1656,10,LA PERLE,4240,1946,808,4,334,Ward 1,136,2011
17,242,1656,11,LA PERLE,4240,1946,808,4,334,Ward 1,136,2011
17,242,1656,12,LA PERLE,4240,1946,808,4,334,Ward 1,136,2011
18,2,22,1,LEWIS FARMS INDUSTRIAL,4485,20,27,1,2,Ward 1,2,2011
18,2,22,2,LEWIS FARMS INDUSTRIAL,4485,20,27,1,2,Ward 1,2,2011
18,2,22,3,LEWIS FARMS INDUSTRIAL,4485,20,27,1,2,Ward 1,2,2011
18,2,22,4,LEWIS FARMS INDUSTRIAL,4485,20,27,2,2,Ward 1,2,2011
18,2,22,5,LEWIS FARMS INDUSTRIAL,4485,20,27,2,2,Ward 1,2,2011
18,2,22,6,LEWIS FARMS INDUSTRIAL,4485,20,27,2,2,Ward 1,2,2011
18,2,22,7,LEWIS FARMS INDUSTRIAL,4485,20,27,3,2,Ward 1,2,2011
18,2,22,8,LEWIS FARMS INDUSTRIAL,4485,20,27,3,2,Ward 1,2,2011
18,2,22,9,LEWIS FARMS INDUSTRIAL,4485,20,27,3,2,Ward 1,2,2011
18,2,22,10,LEWIS FARMS INDUSTRIAL,4485,20,27,4,2,Ward 1,2,2011
18,2,22,11,LEWIS FARMS INDUSTRIAL,4485,20,27,4,2,Ward 1,2,2011
18,2,22,12,LEWIS FARMS INDUSTRIAL,4485,20,27,4,2,Ward 1,2,2011
19,127,658,1,MAYFIELD,4290,674,241,1,178,Ward 1,90,2011
19,127,658,2,MAYFIELD,4290,674,241,1,178,Ward 1,90,2011
19,127,658,3,MAYFIELD,4290,674,241,1,178,Ward 1,90,2011
19,127,658,4,MAYFIELD,4290,674,241,2,178,Ward 1,90,2011
19,127,658,5,MAYFIELD,4290,674,241,2,178,Ward 1,90,2011
19,127,658,6,MAYFIELD,4290,674,241,2,178,Ward 1,90,2011
19,127,658,7,MAYFIELD,4290,674,241,3,178,Ward 1,90,2011
19,127,658,8,MAYFIELD,4290,674,241,3,178,Ward 1,90,2011
19,127,658,9,MAYFIELD,4290,674,241,3,178,Ward 1,90,2011
19,127,658,10,MAYFIELD,4290,674,241,4,178,Ward 1,90,2011
19,127,658,11,MAYFIELD,4290,674,241,4,178,Ward 1,90,2011
19,127,658,12,MAYFIELD,4290,674,241,4,178,Ward 1,90,2011
20,0,0,1,MCNAMARA INDUSTRIAL,4300,0,0,1,0,Ward 1,0,2011
20,0,0,2,MCNAMARA INDUSTRIAL,4300,0,0,1,0,Ward 1,0,2011
20,0,0,3,MCNAMARA INDUSTRIAL,4300,0,0,1,0,Ward 1,0,2011
20,0,0,4,MCNAMARA INDUSTRIAL,4300,0,0,2,0,Ward 1,0,2011
20,0,0,5,MCNAMARA INDUSTRIAL,4300,0,0,2,0,Ward 1,0,2011
20,0,0,6,MCNAMARA INDUSTRIAL,4300,0,0,2,0,Ward 1,0,2011
20,0,0,7,MCNAMARA INDUSTRIAL,4300,0,0,3,0,Ward 1,0,2011
20,0,0,8,MCNAMARA INDUSTRIAL,4300,0,0,3,0,Ward 1,0,2011
20,0,0,9,MCNAMARA INDUSTRIAL,4300,0,0,3,0,Ward 1,0,2011
20,0,0,10,MCNAMARA INDUSTRIAL,4300,0,0,4,0,Ward 1,0,2011
20,0,0,11,MCNAMARA INDUSTRIAL,4300,0,0,4,0,Ward 1,0,2011
20,0,0,12,MCNAMARA INDUSTRIAL,4300,0,0,4,0,Ward 1,0,2011
21,128,859,1,MEADOWLARK PARK,4310,717,542,1,155,Ward 1,207,2011
21,128,859,2,MEADOWLARK PARK,4310,717,542,1,155,Ward 1,207,2011
21,128,859,3,MEADOWLARK PARK,4310,717,542,1,155,Ward 1,207,2011
21,128,859,4,MEADOWLARK PARK,4310,717,542,2,155,Ward 1,207,2011
21,128,859,5,MEADOWLARK PARK,4310,717,542,2,155,Ward 1,207,2011
21,128,859,6,MEADOWLARK PARK,4310,717,542,2,155,Ward 1,207,2011
21,128,859,7,MEADOWLARK PARK,4310,717,542,3,155,Ward 1,207,2011
21,128,859,8,MEADOWLARK PARK,4310,717,542,3,155,Ward 1,207,2011
21,128,859,9,MEADOWLARK PARK,4310,717,542,3,155,Ward 1,207,2011
21,128,859,10,MEADOWLARK PARK,4310,717,542,4,155,Ward 1,207,2011
21,128,859,11,MEADOWLARK PARK,4310,717,542,4,155,Ward 1,207,2011
21,128,859,12,MEADOWLARK PARK,4310,717,542,4,155,Ward 1,207,2011
22,0,0,1,MORIN INDUSTRIAL,4340,0,0,1,0,Ward 1,0,2011
22,0,0,2,MORIN INDUSTRIAL,4340,0,0,1,0,Ward 1,0,2011
22,0,0,3,MORIN INDUSTRIAL,4340,0,0,1,0,Ward 1,0,2011
22,0,0,4,MORIN INDUSTRIAL,4340,0,0,2,0,Ward 1,0,2011
22,0,0,5,MORIN INDUSTRIAL,4340,0,0,2,0,Ward 1,0,2011
22,0,0,6,MORIN INDUSTRIAL,4340,0,0,2,0,Ward 1,0,2011
22,0,0,7,MORIN INDUSTRIAL,4340,0,0,3,0,Ward 1,0,2011
22,0,0,8,MORIN INDUSTRIAL,4340,0,0,3,0,Ward 1,0,2011
22,0,0,9,MORIN INDUSTRIAL,4340,0,0,3,0,Ward 1,0,2011
22,0,0,10,MORIN INDUSTRIAL,4340,0,0,4,0,Ward 1,0,2011
22,0,0,11,MORIN INDUSTRIAL,4340,0,0,4,0,Ward 1,0,2011
22,0,0,12,MORIN INDUSTRIAL,4340,0,0,4,0,Ward 1,0,2011
23,0,0,1,NORWESTER INDUSTRIAL,4350,0,0,1,0,Ward 1,0,2011
23,0,0,2,NORWESTER INDUSTRIAL,4350,0,0,1,0,Ward 1,0,2011
23,0,0,3,NORWESTER INDUSTRIAL,4350,0,0,1,0,Ward 1,0,2011
23,0,0,4,NORWESTER INDUSTRIAL,4350,0,0,2,0,Ward 1,0,2011
23,0,0,5,NORWESTER INDUSTRIAL,4350,0,0,2,0,Ward 1,0,2011
23,0,0,6,NORWESTER INDUSTRIAL,4350,0,0,2,0,Ward 1,0,2011
23,0,0,7,NORWESTER INDUSTRIAL,4350,0,0,3,0,Ward 1,0,2011
23,0,0,8,NORWESTER INDUSTRIAL,4350,0,0,3,0,Ward 1,0,2011
23,0,0,9,NORWESTER INDUSTRIAL,4350,0,0,3,0,Ward 1,0,2011
23,0,0,10,NORWESTER INDUSTRIAL,4350,0,0,4,0,Ward 1,0,2011
23,0,0,11,NORWESTER INDUSTRIAL,4350,0,0,4,0,Ward 1,0,2011
23,0,0,12,NORWESTER INDUSTRIAL,4350,0,0,4,0,Ward 1,0,2011
24,116,1534,1,PARKVIEW,3330,1174,222,1,166,Ward 1,122,2011
24,116,1534,2,PARKVIEW,3330,1174,222,1,166,Ward 1,122,2011
24,116,1534,3,PARKVIEW,3330,1174,222,1,166,Ward 1,122,2011
24,116,1534,4,PARKVIEW,3330,1174,222,2,166,Ward 1,122,2011
24,116,1534,5,PARKVIEW,3330,1174,222,2,166,Ward 1,122,2011
24,116,1534,6,PARKVIEW,3330,1174,222,2,166,Ward 1,122,2011
24,116,1534,7,PARKVIEW,3330,1174,222,3,166,Ward 1,122,2011
24,116,1534,8,PARKVIEW,3330,1174,222,3,166,Ward 1,122,2011
24,116,1534,9,PARKVIEW,3330,1174,222,3,166,Ward 1,122,2011
24,116,1534,10,PARKVIEW,3330,1174,222,4,166,Ward 1,122,2011
24,116,1534,11,PARKVIEW,3330,1174,222,4,166,Ward 1,122,2011
24,116,1534,12,PARKVIEW,3330,1174,222,4,166,Ward 1,122,2011
25,0,0,1,PLACE LARUE,4400,0,0,1,0,Ward 1,0,2011
25,0,0,2,PLACE LARUE,4400,0,0,1,0,Ward 1,0,2011
25,0,0,3,PLACE LARUE,4400,0,0,1,0,Ward 1,0,2011
25,0,0,4,PLACE LARUE,4400,0,0,2,0,Ward 1,0,2011
25,0,0,5,PLACE LARUE,4400,0,0,2,0,Ward 1,0,2011
25,0,0,6,PLACE LARUE,4400,0,0,2,0,Ward 1,0,2011
25,0,0,7,PLACE LARUE,4400,0,0,3,0,Ward 1,0,2011
25,0,0,8,PLACE LARUE,4400,0,0,3,0,Ward 1,0,2011
25,0,0,9,PLACE LARUE,4400,0,0,3,0,Ward 1,0,2011
25,0,0,10,PLACE LARUE,4400,0,0,4,0,Ward 1,0,2011
25,0,0,11,PLACE LARUE,4400,0,0,4,0,Ward 1,0,2011
25,0,0,12,PLACE LARUE,4400,0,0,4,0,Ward 1,0,2011
26,58,851,1,POTTER GREENS,4710,279,253,1,43,Ward 1,36,2011
26,58,851,2,POTTER GREENS,4710,279,253,1,43,Ward 1,36,2011
26,58,851,3,POTTER GREENS,4710,279,253,1,43,Ward 1,36,2011
26,58,851,4,POTTER GREENS,4710,279,253,2,43,Ward 1,36,2011
26,58,851,5,POTTER GREENS,4710,279,253,2,43,Ward 1,36,2011
26,58,851,6,POTTER GREENS,4710,279,253,2,43,Ward 1,36,2011
26,58,851,7,POTTER GREENS,4710,279,253,3,43,Ward 1,36,2011
26,58,851,8,POTTER GREENS,4710,279,253,3,43,Ward 1,36,2011
26,58,851,9,POTTER GREENS,4710,279,253,3,43,Ward 1,36,2011
26,58,851,10,POTTER GREENS,4710,279,253,4,43,Ward 1,36,2011
