NEIGHBOURHOOD,AGE,FEMALE,MALE
ABBOTTSFIELD,0,25,18
ABBOTTSFIELD,1,24,22
ABBOTTSFIELD,2,16,28
ABBOTTSFIELD,3,20,21
ABBOTTSFIELD,4,19,24
ABBOTTSFIELD,5,19,20
ABBOTTSFIELD,6,18,17
ABBOTTSFIELD,7,15,26
ABBOTTSFIELD,8,9,13
ABBOTTSFIELD,9,11,17
ABBOTTSFIELD,10,15,16
ABBOTTSFIELD,11,11,11
ABBOTTSFIELD,12,8,14
ABBOTTSFIELD,13,13,14
ABBOTTSFIELD,14,14,17
ABBOTTSFIELD,15,12,12
ABBOTTSFIELD,16,4,11
ABBOTTSFIELD,17,6,6
ABBOTTSFIELD,18,12,14
ABBOTTSFIELD,19,14,11
ABBOTTSFIELD,20,11,9
ABBOTTSFIELD,21,19,14
ABBOTTSFIELD,22,16,18
ABBOTTSFIELD,23,15,13
ABBOTTSFIELD,24,15,20
ABBOTTSFIELD,25,18,13
ABBOTTSFIELD,26,12,15
ABBOTTSFIELD,27,23,10
ABBOTTSFIELD,28,22,17
ABBOTTSFIELD,29,18,11
ABBOTTSFIELD,30,16,13
ABBOTTSFIELD,31,7,18
ABBOTTSFIELD,32,9,15
ABBOTTSFIELD,33,17,16
ABBOTTSFIELD,34,22,17
ABBOTTSFIELD,35,13,17
ABBOTTSFIELD,36,12,8
ABBOTTSFIELD,37,12,9
ABBOTTSFIELD,38,11,13
ABBOTTSFIELD,39,14,14
ABBOTTSFIELD,40,9,14
ABBOTTSFIELD,41,12,4
ABBOTTSFIELD,42,6,12
ABBOTTSFIELD,43,5,11
ABBOTTSFIELD,44,6,5
ABBOTTSFIELD,45,10,11
ABBOTTSFIELD,46,12,8
ABBOTTSFIELD,47,11,8
ABBOTTSFIELD,48,14,6
ABBOTTSFIELD,49,10,8
ABBOTTSFIELD,50,9,9
ABBOTTSFIELD,51,6,14
ABBOTTSFIELD,52,9,8
ABBOTTSFIELD,53,11,8
ABBOTTSFIELD,54,7,13
ABBOTTSFIELD,55,7,7
ABBOTTSFIELD,56,8,4
ABBOTTSFIELD,57,6,7
ABBOTTSFIELD,58,8,9
ABBOTTSFIELD,59,9,4
ABBOTTSFIELD,60,6,4
ABBOTTSFIELD,61,8,4
ABBOTTSFIELD,62,5,6
ABBOTTSFIELD,63,1,2
ABBOTTSFIELD,64,3,4
ABBOTTSFIELD,65,3,2
ABBOTTSFIELD,66,5,3
ABBOTTSFIELD,67,1,6
ABBOTTSFIELD,68,2,3
ABBOTTSFIELD,69,5,1
ABBOTTSFIELD,70,2,0
ABBOTTSFIELD,71,4,2
ABBOTTSFIELD,72,4,0
ABBOTTSFIELD,73,2,1
ABBOTTSFIELD,74,3,2
ABBOTTSFIELD,75,2,2
ABBOTTSFIELD,76,3,0
ABBOTTSFIELD,77,1,1
ABBOTTSFIELD,78,1,4
ABBOTTSFIELD,79,1,0
ABBOTTSFIELD,80,2,0
ABBOTTSFIELD,81,1,1
ABBOTTSFIELD,82,0,1
ABBOTTSFIELD,83,0,0
ABBOTTSFIELD,84,1,0
ABBOTTSFIELD,85+,4,3
ABBOTTSFIELD,No Response,75,73
ALBERTA AVENUE,0,21,35
ALBERTA AVENUE,1,23,20
ALBERTA AVENUE,2,28,17
ALBERTA AVENUE,3,23,28
ALBERTA AVENUE,4,22,25
ALBERTA AVENUE,5,16,25
ALBERTA AVENUE,6,22,25
ALBERTA AVENUE,7,17,21
ALBERTA AVENUE,8,28,30
ALBERTA AVENUE,9,37,29
ALBERTA AVENUE,10,21,29
ALBERTA AVENUE,11,25,12
ALBERTA AVENUE,12,21,29
ALBERTA AVENUE,13,37,30
ALBERTA AVENUE,14,29,26
ALBERTA AVENUE,15,30,29
ALBERTA AVENUE,16,34,28
ALBERTA AVENUE,17,28,22
ALBERTA AVENUE,18,35,35
ALBERTA AVENUE,19,31,40
ALBERTA AVENUE,20,38,29
ALBERTA AVENUE,21,44,39
ALBERTA AVENUE,22,30,48
ALBERTA AVENUE,23,45,41
ALBERTA AVENUE,24,33,52
ALBERTA AVENUE,25,44,40
ALBERTA AVENUE,26,30,45
ALBERTA AVENUE,27,43,41
ALBERTA AVENUE,28,47,65
ALBERTA AVENUE,29,53,56
ALBERTA AVENUE,30,41,38
ALBERTA AVENUE,31,44,51
ALBERTA AVENUE,32,45,48
ALBERTA AVENUE,33,39,61
ALBERTA AVENUE,34,26,51
ALBERTA AVENUE,35,55,44
ALBERTA AVENUE,36,41,43
ALBERTA AVENUE,37,36,37
ALBERTA AVENUE,38,31,47
ALBERTA AVENUE,39,59,41
ALBERTA AVENUE,40,40,44
ALBERTA AVENUE,41,34,43
ALBERTA AVENUE,42,34,51
ALBERTA AVENUE,43,37,41
ALBERTA AVENUE,44,39,50
ALBERTA AVENUE,45,40,40
ALBERTA AVENUE,46,33,45
ALBERTA AVENUE,47,43,48
ALBERTA AVENUE,48,44,72
ALBERTA AVENUE,49,56,66
ALBERTA AVENUE,50,41,49
ALBERTA AVENUE,51,52,43
ALBERTA AVENUE,52,43,54
ALBERTA AVENUE,53,42,46
ALBERTA AVENUE,54,40,59
ALBERTA AVENUE,55,45,42
ALBERTA AVENUE,56,23,36
ALBERTA AVENUE,57,25,36
ALBERTA AVENUE,58,27,44
ALBERTA AVENUE,59,30,25
ALBERTA AVENUE,60,24,26
ALBERTA AVENUE,61,22,24
ALBERTA AVENUE,62,26,25
ALBERTA AVENUE,63,16,23
ALBERTA AVENUE,64,20,20
ALBERTA AVENUE,65,22,20
ALBERTA AVENUE,66,17,28
ALBERTA AVENUE,67,18,14
ALBERTA AVENUE,68,15,16
ALBERTA AVENUE,69,11,21
ALBERTA AVENUE,70,11,13
ALBERTA AVENUE,71,15,11
ALBERTA AVENUE,72,15,11
ALBERTA AVENUE,73,10,19
ALBERTA AVENUE,74,11,10
ALBERTA AVENUE,75,8,15
ALBERTA AVENUE,76,9,8
ALBERTA AVENUE,77,7,3
ALBERTA AVENUE,78,7,16
ALBERTA AVENUE,79,13,15
ALBERTA AVENUE,80,4,3
ALBERTA AVENUE,81,12,5
ALBERTA AVENUE,82,3,5
ALBERTA AVENUE,83,2,6
ALBERTA AVENUE,84,3,2
ALBERTA AVENUE,85+,47,34
ALBERTA AVENUE,No Response,439,585
ALBERTA PARK INDUSTRIAL,0,0,0
ALBERTA PARK INDUSTRIAL,1,0,0
ALBERTA PARK INDUSTRIAL,2,0,0
ALBERTA PARK INDUSTRIAL,3,0,0
ALBERTA PARK INDUSTRIAL,4,0,0
ALBERTA PARK INDUSTRIAL,5,0,0
ALBERTA PARK INDUSTRIAL,6,0,0
ALBERTA PARK INDUSTRIAL,7,0,0
ALBERTA PARK INDUSTRIAL,8,0,0
ALBERTA PARK INDUSTRIAL,9,0,0
ALBERTA PARK INDUSTRIAL,10,0,0
ALBERTA PARK INDUSTRIAL,11,0,0
ALBERTA PARK INDUSTRIAL,12,0,0
ALBERTA PARK INDUSTRIAL,13,0,0
ALBERTA PARK INDUSTRIAL,14,0,0
ALBERTA PARK INDUSTRIAL,15,0,0
ALBERTA PARK INDUSTRIAL,16,0,0
ALBERTA PARK INDUSTRIAL,17,0,0
ALBERTA PARK INDUSTRIAL,18,0,0
ALBERTA PARK INDUSTRIAL,19,0,0
ALBERTA PARK INDUSTRIAL,20,0,0
ALBERTA PARK INDUSTRIAL,21,0,0
ALBERTA PARK INDUSTRIAL,22,0,0
ALBERTA PARK INDUSTRIAL,23,0,0
ALBERTA PARK INDUSTRIAL,24,0,0
ALBERTA PARK INDUSTRIAL,25,0,0
ALBERTA PARK INDUSTRIAL,26,0,0
ALBERTA PARK INDUSTRIAL,27,0,0
ALBERTA PARK INDUSTRIAL,28,0,0
ALBERTA PARK INDUSTRIAL,29,0,0
ALBERTA PARK INDUSTRIAL,30,0,0
ALBERTA PARK INDUSTRIAL,31,0,0
ALBERTA PARK INDUSTRIAL,32,0,0
ALBERTA PARK INDUSTRIAL,33,0,0
ALBERTA PARK INDUSTRIAL,34,0,0
ALBERTA PARK INDUSTRIAL,35,0,0
ALBERTA PARK INDUSTRIAL,36,0,0
ALBERTA PARK INDUSTRIAL,37,0,0
ALBERTA PARK INDUSTRIAL,38,0,0
ALBERTA PARK INDUSTRIAL,39,0,0
ALBERTA PARK INDUSTRIAL,40,0,0
ALBERTA PARK INDUSTRIAL,41,0,0
ALBERTA PARK INDUSTRIAL,42,0,0
ALBERTA PARK INDUSTRIAL,43,0,0
ALBERTA PARK INDUSTRIAL,44,0,0
ALBERTA PARK INDUSTRIAL,45,0,0
ALBERTA PARK INDUSTRIAL,46,0,0
ALBERTA PARK INDUSTRIAL,47,0,0
ALBERTA PARK INDUSTRIAL,48,0,0
ALBERTA PARK INDUSTRIAL,49,0,0
ALBERTA PARK INDUSTRIAL,50,0,0
ALBERTA PARK INDUSTRIAL,51,0,0
ALBERTA PARK INDUSTRIAL,52,0,0
ALBERTA PARK INDUSTRIAL,53,0,0
ALBERTA PARK INDUSTRIAL,54,0,0
ALBERTA PARK INDUSTRIAL,55,0,0
ALBERTA PARK INDUSTRIAL,56,0,0
ALBERTA PARK INDUSTRIAL,57,0,0
ALBERTA PARK INDUSTRIAL,58,0,0
ALBERTA PARK INDUSTRIAL,59,0,0
ALBERTA PARK INDUSTRIAL,60,0,0
ALBERTA PARK INDUSTRIAL,61,0,0
ALBERTA PARK INDUSTRIAL,62,0,0
ALBERTA PARK INDUSTRIAL,63,0,0
ALBERTA PARK INDUSTRIAL,64,0,0
ALBERTA PARK INDUSTRIAL,65,0,0
ALBERTA PARK INDUSTRIAL,66,0,0
ALBERTA PARK INDUSTRIAL,67,0,0
ALBERTA PARK INDUSTRIAL,68,0,0
ALBERTA PARK INDUSTRIAL,69,0,0
ALBERTA PARK INDUSTRIAL,70,0,0
ALBERTA PARK INDUSTRIAL,71,0,0
ALBERTA PARK INDUSTRIAL,72,0,0
ALBERTA PARK INDUSTRIAL,73,0,0
ALBERTA PARK INDUSTRIAL,74,0,0
ALBERTA PARK INDUSTRIAL,75,0,0
ALBERTA PARK INDUSTRIAL,76,0,0
ALBERTA PARK INDUSTRIAL,77,0,0
ALBERTA PARK INDUSTRIAL,78,0,0
ALBERTA PARK INDUSTRIAL,79,0,0
ALBERTA PARK INDUSTRIAL,80,0,0
ALBERTA PARK INDUSTRIAL,81,0,0
ALBERTA PARK INDUSTRIAL,82,0,0
ALBERTA PARK INDUSTRIAL,83,0,0
ALBERTA PARK INDUSTRIAL,84,0,0
ALBERTA PARK INDUSTRIAL,85+,0,0
ALBERTA PARK INDUSTRIAL,No Response,0,0
ALDERGROVE,0,28,25
ALDERGROVE,1,32,31
ALDERGROVE,2,30,35
ALDERGROVE,3,31,23
ALDERGROVE,4,26,21
ALDERGROVE,5,29,30
ALDERGROVE,6,34,35
ALDERGROVE,7,27,18
ALDERGROVE,8,29,38
ALDERGROVE,9,22,34
ALDERGROVE,10,33,28
ALDERGROVE,11,24,26
ALDERGROVE,12,38,37
ALDERGROVE,13,40,31
ALDERGROVE,14,39,37
ALDERGROVE,15,37,44
ALDERGROVE,16,39,43
ALDERGROVE,17,35,49
ALDERGROVE,18,58,39
ALDERGROVE,19,52,44
ALDERGROVE,20,49,51
ALDERGROVE,21,49,50
ALDERGROVE,22,56,41
ALDERGROVE,23,42,62
ALDERGROVE,24,48,40
ALDERGROVE,25,36,45
ALDERGROVE,26,41,38
ALDERGROVE,27,41,40
ALDERGROVE,28,36,45
ALDERGROVE,29,28,46
ALDERGROVE,30,32,32
ALDERGROVE,31,19,33
ALDERGROVE,32,27,30
ALDERGROVE,33,28,27
ALDERGROVE,34,31,28
ALDERGROVE,35,34,21
ALDERGROVE,36,23,27
ALDERGROVE,37,33,27
ALDERGROVE,38,40,25
ALDERGROVE,39,40,35
ALDERGROVE,40,29,33
ALDERGROVE,41,39,43
ALDERGROVE,42,31,36
ALDERGROVE,43,43,23
ALDERGROVE,44,37,31
ALDERGROVE,45,50,42
ALDERGROVE,46,47,32
ALDERGROVE,47,38,34
ALDERGROVE,48,58,47
ALDERGROVE,49,45,49
ALDERGROVE,50,46,53
ALDERGROVE,51,51,44
ALDERGROVE,52,36,40
ALDERGROVE,53,39,54
ALDERGROVE,54,43,44
ALDERGROVE,55,31,35
ALDERGROVE,56,25,38
ALDERGROVE,57,45,29
ALDERGROVE,58,19,32
ALDERGROVE,59,28,36
ALDERGROVE,60,23,23
ALDERGROVE,61,20,24
ALDERGROVE,62,26,34
ALDERGROVE,63,12,20
ALDERGROVE,64,19,16
ALDERGROVE,65,15,23
ALDERGROVE,66,16,14
ALDERGROVE,67,13,10
ALDERGROVE,68,18,12
ALDERGROVE,69,6,11
ALDERGROVE,70,7,12
ALDERGROVE,71,7,9
ALDERGROVE,72,7,12
ALDERGROVE,73,9,6
ALDERGROVE,74,15,4
ALDERGROVE,75,8,7
ALDERGROVE,76,9,12
ALDERGROVE,77,7,11
ALDERGROVE,78,3,5
ALDERGROVE,79,7,9
ALDERGROVE,80,5,6
ALDERGROVE,81,7,2
ALDERGROVE,82,4,4
ALDERGROVE,83,3,4
ALDERGROVE,84,2,1
ALDERGROVE,85+,16,11
ALDERGROVE,No Response,239,198
ALLENDALE,0,17,14
ALLENDALE,1,10,10
ALLENDALE,2,17,10
ALLENDALE,3,11,9
ALLENDALE,4,9,12
ALLENDALE,5,8,20
ALLENDALE,6,16,9
ALLENDALE,7,13,9
ALLENDALE,8,7,8
ALLENDALE,9,8,4
ALLENDALE,10,10,10
ALLENDALE,11,4,16
ALLENDALE,12,12,15
ALLENDALE,13,12,5
ALLENDALE,14,14,11
ALLENDALE,15,6,6
ALLENDALE,16,11,9
ALLENDALE,17,10,10
ALLENDALE,18,15,15
ALLENDALE,19,34,22
ALLENDALE,20,41,29
ALLENDALE,21,37,32
ALLENDALE,22,49,42
ALLENDALE,23,41,41
ALLENDALE,24,35,29
ALLENDALE,25,34,52
ALLENDALE,26,40,48
ALLENDALE,27,25,31
ALLENDALE,28,39,55
ALLENDALE,29,29,35
ALLENDALE,30,29,27
ALLENDALE,31,27,33
ALLENDALE,32,19,21
ALLENDALE,33,22,23
ALLENDALE,34,18,21
ALLENDALE,35,11,18
ALLENDALE,36,12,22
ALLENDALE,37,16,19
ALLENDALE,38,16,15
ALLENDALE,39,11,19
ALLENDALE,40,14,26
ALLENDALE,41,14,13
ALLENDALE,42,19,19
ALLENDALE,43,11,13
ALLENDALE,44,12,21
ALLENDALE,45,16,13
ALLENDALE,46,16,24
ALLENDALE,47,15,14
ALLENDALE,48,15,24
ALLENDALE,49,16,15
ALLENDALE,50,15,20
ALLENDALE,51,16,15
ALLENDALE,52,12,17
ALLENDALE,53,14,14
ALLENDALE,54,14,12
ALLENDALE,55,7,14
ALLENDALE,56,14,11
ALLENDALE,57,9,13
ALLENDALE,58,7,10
ALLENDALE,59,9,7
ALLENDALE,60,8,8
ALLENDALE,61,14,12
ALLENDALE,62,17,13
ALLENDALE,63,13,12
ALLENDALE,64,17,1
ALLENDALE,65,12,9
ALLENDALE,66,4,9
ALLENDALE,67,14,4
ALLENDALE,68,3,10
ALLENDALE,69,4,2
ALLENDALE,70,5,6
ALLENDALE,71,2,4
ALLENDALE,72,4,4
ALLENDALE,73,4,5
ALLENDALE,74,5,4
ALLENDALE,75,5,7
ALLENDALE,76,5,2
ALLENDALE,77,3,4
ALLENDALE,78,5,5
ALLENDALE,79,9,3
ALLENDALE,80,7,3
ALLENDALE,81,1,3
ALLENDALE,82,8,3
ALLENDALE,83,11,1
ALLENDALE,84,5,4
ALLENDALE,85+,34,11
ALLENDALE,No Response,136,149
AMBLESIDE,0,1,4
AMBLESIDE,1,1,3
AMBLESIDE,2,1,2
AMBLESIDE,3,2,1
AMBLESIDE,4,1,1
AMBLESIDE,5,2,0
AMBLESIDE,6,0,1
AMBLESIDE,7,1,1
AMBLESIDE,8,1,2
AMBLESIDE,9,3,0
AMBLESIDE,10,1,2
AMBLESIDE,11,0,1
AMBLESIDE,12,1,0
AMBLESIDE,13,2,3
AMBLESIDE,14,1,0
AMBLESIDE,15,1,2
AMBLESIDE,16,0,2
AMBLESIDE,17,0,2
AMBLESIDE,18,1,1
AMBLESIDE,19,0,3
AMBLESIDE,20,0,3
AMBLESIDE,21,4,1
AMBLESIDE,22,3,0
AMBLESIDE,23,2,2
AMBLESIDE,24,3,2
AMBLESIDE,25,3,4
AMBLESIDE,26,2,2
AMBLESIDE,27,4,2
AMBLESIDE,28,7,3
AMBLESIDE,29,3,3
AMBLESIDE,30,5,2
AMBLESIDE,31,2,5
AMBLESIDE,32,5,5
AMBLESIDE,33,0,3
AMBLESIDE,34,1,0
AMBLESIDE,35,1,2
AMBLESIDE,36,3,4
AMBLESIDE,37,2,2
AMBLESIDE,38,2,1
AMBLESIDE,39,2,3
AMBLESIDE,40,3,3
AMBLESIDE,41,3,1
AMBLESIDE,42,0,3
AMBLESIDE,43,2,2
AMBLESIDE,44,3,3
AMBLESIDE,45,1,0
AMBLESIDE,46,2,3
AMBLESIDE,47,3,1
AMBLESIDE,48,1,2
AMBLESIDE,49,1,2
AMBLESIDE,50,1,2
AMBLESIDE,51,1,1
AMBLESIDE,52,1,1
AMBLESIDE,53,1,1
AMBLESIDE,54,1,1
AMBLESIDE,55,0,0
AMBLESIDE,56,1,0
AMBLESIDE,57,0,1
AMBLESIDE,58,0,0
AMBLESIDE,59,1,1
AMBLESIDE,60,1,1
AMBLESIDE,61,1,2
AMBLESIDE,62,1,0
AMBLESIDE,63,0,1
AMBLESIDE,64,0,0
AMBLESIDE,65,0,0
AMBLESIDE,66,1,0
AMBLESIDE,67,0,0
AMBLESIDE,68,0,0
AMBLESIDE,69,0,0
AMBLESIDE,70,0,1
AMBLESIDE,71,0,0
AMBLESIDE,72,0,0
AMBLESIDE,73,0,0
AMBLESIDE,74,0,0
AMBLESIDE,75,1,0
AMBLESIDE,76,0,0
AMBLESIDE,77,0,0
AMBLESIDE,78,0,0
AMBLESIDE,79,0,0
AMBLESIDE,80,0,0
AMBLESIDE,81,0,0
AMBLESIDE,82,0,0
AMBLESIDE,83,0,0
AMBLESIDE,84,0,0
AMBLESIDE,85+,0,0
AMBLESIDE,No Response,14,16
ANTHONY HENDAY,0,0,0
ANTHONY HENDAY,1,0,0
ANTHONY HENDAY,2,0,0
ANTHONY HENDAY,3,0,0
ANTHONY HENDAY,4,0,0
ANTHONY HENDAY,5,0,0
ANTHONY HENDAY,6,0,0
ANTHONY HENDAY,7,0,0
ANTHONY HENDAY,8,0,0
ANTHONY HENDAY,9,0,0
ANTHONY HENDAY,10,0,0
ANTHONY HENDAY,11,0,0
ANTHONY HENDAY,12,0,0
ANTHONY HENDAY,13,0,0
ANTHONY HENDAY,14,0,0
ANTHONY HENDAY,15,0,0
ANTHONY HENDAY,16,0,0
ANTHONY HENDAY,17,0,0
ANTHONY HENDAY,18,0,0
ANTHONY HENDAY,19,0,0
ANTHONY HENDAY,20,0,0
ANTHONY HENDAY,21,0,0
ANTHONY HENDAY,22,0,0
ANTHONY HENDAY,23,0,0
ANTHONY HENDAY,24,0,0
ANTHONY HENDAY,25,0,0
ANTHONY HENDAY,26,0,0
ANTHONY HENDAY,27,0,0
ANTHONY HENDAY,28,0,0
ANTHONY HENDAY,29,0,0
ANTHONY HENDAY,30,0,0
ANTHONY HENDAY,31,0,0
ANTHONY HENDAY,32,0,0
ANTHONY HENDAY,33,0,0
ANTHONY HENDAY,34,0,0
ANTHONY HENDAY,35,0,0
ANTHONY HENDAY,36,0,0
ANTHONY HENDAY,37,0,0
ANTHONY HENDAY,38,0,0
ANTHONY HENDAY,39,0,0
ANTHONY HENDAY,40,0,0
ANTHONY HENDAY,41,0,0
ANTHONY HENDAY,42,0,0
ANTHONY HENDAY,43,0,0
ANTHONY HENDAY,44,0,0
ANTHONY HENDAY,45,0,0
ANTHONY HENDAY,46,0,0
ANTHONY HENDAY,47,0,0
ANTHONY HENDAY,48,0,0
ANTHONY HENDAY,49,0,0
ANTHONY HENDAY,50,0,0
ANTHONY HENDAY,51,0,0
ANTHONY HENDAY,52,0,0
ANTHONY HENDAY,53,0,0
ANTHONY HENDAY,54,0,0
ANTHONY HENDAY,55,0,0
ANTHONY HENDAY,56,0,0
ANTHONY HENDAY,57,0,0
ANTHONY HENDAY,58,0,0
ANTHONY HENDAY,59,0,0
ANTHONY HENDAY,60,0,0
ANTHONY HENDAY,61,0,0
ANTHONY HENDAY,62,0,0
ANTHONY HENDAY,63,0,0
ANTHONY HENDAY,64,0,0
ANTHONY HENDAY,65,0,0
ANTHONY HENDAY,66,0,0
ANTHONY HENDAY,67,0,0
ANTHONY HENDAY,68,0,0
ANTHONY HENDAY,69,0,0
ANTHONY HENDAY,70,0,0
ANTHONY HENDAY,71,0,0
ANTHONY HENDAY,72,0,0
ANTHONY HENDAY,73,0,0
ANTHONY HENDAY,74,0,0
ANTHONY HENDAY,75,0,0
ANTHONY HENDAY,76,0,0
ANTHONY HENDAY,77,0,0
ANTHONY HENDAY,78,0,0
ANTHONY HENDAY,79,0,0
ANTHONY HENDAY,80,0,0
ANTHONY HENDAY,81,0,0
ANTHONY HENDAY,82,0,0
ANTHONY HENDAY,83,0,0
ANTHONY HENDAY,84,0,0
ANTHONY HENDAY,85+,0,0
ANTHONY HENDAY,No Response,0,0
ANTHONY HENDAY SOUTH,0,0,0
ANTHONY HENDAY SOUTH,1,0,0
ANTHONY HENDAY SOUTH,2,0,0
ANTHONY HENDAY SOUTH,3,0,0
ANTHONY HENDAY SOUTH,4,0,0
ANTHONY HENDAY SOUTH,5,0,0
ANTHONY HENDAY SOUTH,6,0,0
ANTHONY HENDAY SOUTH,7,0,0
ANTHONY HENDAY SOUTH,8,0,0
ANTHONY HENDAY SOUTH,9,0,0
ANTHONY HENDAY SOUTH,10,0,0
ANTHONY HENDAY SOUTH,11,0,0
ANTHONY HENDAY SOUTH,12,0,0
ANTHONY HENDAY SOUTH,13,0,0
ANTHONY HENDAY SOUTH,14,0,0
ANTHONY HENDAY SOUTH,15,0,0
ANTHONY HENDAY SOUTH,16,0,0
ANTHONY HENDAY SOUTH,17,0,0
ANTHONY HENDAY SOUTH,18,0,0
ANTHONY HENDAY SOUTH,19,0,0
ANTHONY HENDAY SOUTH,20,0,0
ANTHONY HENDAY SOUTH,21,0,0
ANTHONY HENDAY SOUTH,22,0,0
ANTHONY HENDAY SOUTH,23,0,0
ANTHONY HENDAY SOUTH,24,0,0
ANTHONY HENDAY SOUTH,25,0,0
ANTHONY HENDAY SOUTH,26,0,0
ANTHONY HENDAY SOUTH,27,0,0
ANTHONY HENDAY SOUTH,28,0,0
ANTHONY HENDAY SOUTH,29,0,0
ANTHONY HENDAY SOUTH,30,0,0
ANTHONY HENDAY SOUTH,31,0,0
ANTHONY HENDAY SOUTH,32,0,0
ANTHONY HENDAY SOUTH,33,0,0
ANTHONY HENDAY SOUTH,34,0,0
ANTHONY HENDAY SOUTH,35,0,0
ANTHONY HENDAY SOUTH,36,0,0
ANTHONY HENDAY SOUTH,37,0,0
ANTHONY HENDAY SOUTH,38,0,0
ANTHONY HENDAY SOUTH,39,0,0
ANTHONY HENDAY SOUTH,40,0,0
ANTHONY HENDAY SOUTH,41,0,0
ANTHONY HENDAY SOUTH,42,0,0
ANTHONY HENDAY SOUTH,43,0,0
ANTHONY HENDAY SOUTH,44,0,0
ANTHONY HENDAY SOUTH,45,0,0
ANTHONY HENDAY SOUTH,46,0,0
ANTHONY HENDAY SOUTH,47,0,0
ANTHONY HENDAY SOUTH,48,0,0
ANTHONY HENDAY SOUTH,49,0,0
ANTHONY HENDAY SOUTH,50,0,0
ANTHONY HENDAY SOUTH,51,0,0
ANTHONY HENDAY SOUTH,52,0,0
ANTHONY HENDAY SOUTH,53,0,0
ANTHONY HENDAY SOUTH,54,0,0
ANTHONY HENDAY SOUTH,55,0,0
ANTHONY HENDAY SOUTH,56,0,0
ANTHONY HENDAY SOUTH,57,0,0
ANTHONY HENDAY SOUTH,58,0,0
ANTHONY HENDAY SOUTH,59,0,0
ANTHONY HENDAY SOUTH,60,0,0
ANTHONY HENDAY SOUTH,61,0,0
ANTHONY HENDAY SOUTH,62,0,0
ANTHONY HENDAY SOUTH,63,0,0
ANTHONY HENDAY SOUTH,64,0,0
ANTHONY HENDAY SOUTH,65,0,0
ANTHONY HENDAY SOUTH,66,0,0
ANTHONY HENDAY SOUTH,67,0,0
ANTHONY HENDAY SOUTH,68,0,0
ANTHONY HENDAY SOUTH,69,0,0
ANTHONY HENDAY SOUTH,70,0,0
ANTHONY HENDAY SOUTH,71,0,0
ANTHONY HENDAY SOUTH,72,0,0
ANTHONY HENDAY SOUTH,73,0,0
ANTHONY HENDAY SOUTH,74,0,0
ANTHONY HENDAY SOUTH,75,0,0
ANTHONY HENDAY SOUTH,76,0,0
ANTHONY HENDAY SOUTH,77,0,0
ANTHONY HENDAY SOUTH,78,0,0
ANTHONY HENDAY SOUTH,79,0,0
ANTHONY HENDAY SOUTH,80,0,0
ANTHONY HENDAY SOUTH,81,0,0
ANTHONY HENDAY SOUTH,82,0,0
ANTHONY HENDAY SOUTH,83,0,0
ANTHONY HENDAY SOUTH,84,0,0
ANTHONY HENDAY SOUTH,85+,0,0
ANTHONY HENDAY SOUTH,No Response,0,0
ANTHONY HENDAY SOUTH WEST,0,0,0
ANTHONY HENDAY SOUTH WEST,1,0,0
ANTHONY HENDAY SOUTH WEST,2,0,0
ANTHONY HENDAY SOUTH WEST,3,0,0
ANTHONY HENDAY SOUTH WEST,4,0,0
ANTHONY HENDAY SOUTH WEST,5,0,0
ANTHONY HENDAY SOUTH WEST,6,0,0
ANTHONY HENDAY SOUTH WEST,7,0,0
ANTHONY HENDAY SOUTH WEST,8,0,0
ANTHONY HENDAY SOUTH WEST,9,0,0
ANTHONY HENDAY SOUTH WEST,10,0,0
ANTHONY HENDAY SOUTH WEST,11,0,0
ANTHONY HENDAY SOUTH WEST,12,0,0
ANTHONY HENDAY SOUTH WEST,13,0,0
ANTHONY HENDAY SOUTH WEST,14,0,0
ANTHONY HENDAY SOUTH WEST,15,0,0
ANTHONY HENDAY SOUTH WEST,16,0,0
ANTHONY HENDAY SOUTH WEST,17,0,0
ANTHONY HENDAY SOUTH WEST,18,0,0
ANTHONY HENDAY SOUTH WEST,19,0,0
ANTHONY HENDAY SOUTH WEST,20,0,0
ANTHONY HENDAY SOUTH WEST,21,0,0
ANTHONY HENDAY SOUTH WEST,22,0,0
ANTHONY HENDAY SOUTH WEST,23,0,0
ANTHONY HENDAY SOUTH WEST,24,0,0
ANTHONY HENDAY SOUTH WEST,25,0,0
ANTHONY HENDAY SOUTH WEST,26,0,0
ANTHONY HENDAY SOUTH WEST,27,0,0
ANTHONY HENDAY SOUTH WEST,28,0,0
ANTHONY HENDAY SOUTH WEST,29,0,0
ANTHONY HENDAY SOUTH WEST,30,0,0
ANTHONY HENDAY SOUTH WEST,31,0,0
ANTHONY HENDAY SOUTH WEST,32,0,0
ANTHONY HENDAY SOUTH WEST,33,0,0
ANTHONY HENDAY SOUTH WEST,34,0,0
ANTHONY HENDAY SOUTH WEST,35,0,0
ANTHONY HENDAY SOUTH WEST,36,0,0
ANTHONY HENDAY SOUTH WEST,37,0,0
ANTHONY HENDAY SOUTH WEST,38,0,0
ANTHONY HENDAY SOUTH WEST,39,0,0
ANTHONY HENDAY SOUTH WEST,40,0,0
ANTHONY HENDAY SOUTH WEST,41,0,0
ANTHONY HENDAY SOUTH WEST,42,0,0
ANTHONY HENDAY SOUTH WEST,43,0,0
ANTHONY HENDAY SOUTH WEST,44,0,0
ANTHONY HENDAY SOUTH WEST,45,0,0
ANTHONY HENDAY SOUTH WEST,46,0,0
