Neighbourhood Name,Edmonton Public,Female,Never Married,Non-Canadian Citizen,Post Secondary Student,Rented,Transit,Unemployed
WELLINGTON,"159,993","1,468","105,183","18,966","7,569","34,365","14,790","7,656"
WEST JASPER PLACE,"146,856","1,404","91,698","37,671","10,701","86,739","28,014","10,440"
WEST MEADOWLARK PARK,"111,969","1,500","74,646","31,059","6,786","39,585","19,662","6,177"
WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0
WESTBROOK ESTATES,"84,999",613,"37,236","16,182","6,177","14,529","5,655","2,175"
WESTMOUNT,"204,363","2,965","170,694","22,185","25,143","114,318","43,848","9,483"
WESTRIDGE,"80,127",677,"37,497","1,740","8,700",261,"2,175",783
WESTVIEW VILLAGE,"135,720","1,096","61,422","2,349","2,001","5,568","6,960","5,568"
WESTWOOD,"193,749","1,384","128,325","36,801","41,760","123,801","29,058","14,790"
WHITE INDUSTRIAL,0,0,0,0,0,0,0,0
WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0,0,0
WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0
WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0,0,0
WILD ROSE,"467,277","3,944","257,781","82,041","29,493","17,313","20,706","12,876"
WILSON INDUSTRIAL,0,0,0,0,0,0,0,0
WINDERMERE,"106,227","1,045","66,033","14,877","6,525","2,610","4,611",957
WINDERMERE AREA,0,0,0,0,0,0,0,0
WINDSOR PARK,"83,868",599,"44,544","9,048","23,925","6,873","4,611","1,218"
WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0,0,0
WINTERBURN INDUSTRIAL AREA WEST,174,7,174,87,87,"1,131",0,0
WOODCROFT,"162,690","1,411","80,997","15,573","8,178","66,207","13,224","5,133"
YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0,0,0
YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0,0
YORK,"206,886","1,885","130,326","25,143","12,006","48,981","27,492","8,352"
YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0,0
