Neighbourhood Name,Edmonton Public,Female,Never Married,Non-Canadian Citizen,Post Secondary Student,Rented,Transit,Unemployed
MCNAMARA INDUSTRIAL,0,0,0,0,0,0,0,0
MCQUEEN,"85,086",849,"43,065","5,307","5,829","31,059","5,394","2,436"
MEADOWLARK PARK,"100,311","1,348","62,379","10,092","10,179","11,484","8,961","3,132"
MEADOWS AREA,0,0,0,0,0,0,0,0
MENISA,"131,718","1,261","81,780","10,614","10,440","11,745","12,789","4,785"
MEYOKUMIN,"159,123","1,353","91,350","24,795","10,266","19,575","13,659","5,916"
MEYONOHK,"168,867","1,499","102,312","22,185","11,223","16,617","17,835","5,046"
MICHAELS PARK,"151,989","1,110","82,563","15,312","9,744","16,965","14,355","3,132"
MILL CREEK RAVINE NORTH,0,0,0,0,0,0,0,0
MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0
MILL WOODS GOLF COURSE,0,0,0,0,0,0,0,0
MILL WOODS PARK,0,0,0,0,0,0,0,0
MILL WOODS TOWN CENTRE,"66,990",631,"22,011","17,139","1,740","23,838","7,221","2,871"
MILLER,"162,255","1,566","102,486","18,096","10,614","17,748","18,966","3,567"
MINCHAU,"183,570","1,509","106,923","23,316","10,875","21,576","13,659","5,220"
MISTATIM INDUSTRIAL,0,0,0,0,0,0,0,0
MITCHELL INDUSTRIAL,0,0,0,0,0,0,0,0
MONTROSE,"201,318","1,519","107,793","12,876","6,612","49,242","22,446","10,962"
MORIN INDUSTRIAL,0,2,0,0,0,0,0,0
MORRIS INDUSTRIAL,0,0,0,0,0,0,0,0
NEWTON,"131,892","1,387","83,694","5,568","7,569","23,838","19,575","6,873"
NORTH GLENORA,"97,962","1,022","60,552","10,440","9,483","20,445","10,701","4,089"
NORTHMOUNT,"155,730","1,456","93,612","18,357","8,961","22,359","14,355","6,438"
NORWESTER INDUSTRIAL,0,0,0,0,0,0,0,0
OGILVIE RIDGE,"59,421",502,"26,013","4,785","7,047",696,"1,740",174
OLESKIW,"186,876","1,532","86,739","9,744","24,012","3,828","3,480","1,131"
OLIVER,"925,854","8,903","612,915","155,904","135,111","743,154","196,272","37,671"
ORMSBY PLACE,"299,193","2,715","198,534","32,799","24,012","42,978","28,449","9,831"
OTTEWELL,"358,788","3,008","171,999","16,182","24,621","53,070","27,753","12,006"
OVERLANDERS,"143,985","1,387","90,306","9,483","12,093","75,603","22,707","7,221"
OXFORD,"159,558","1,670","113,535","12,354","16,356","7,308","9,483","3,219"
OZERNA,"207,582","2,184","150,336","17,400","23,142","8,265","16,617","6,612"
PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,0,0
PARKALLEN,"155,991","1,099","88,827","11,658","26,796","33,756","24,012","4,350"
PARKDALE,"183,918","1,483","102,138","16,878","16,965","55,071","28,362","13,920"
PARKVIEW,"182,787","1,740","102,138","10,179","17,313","8,004","9,831","3,045"
PARSONS INDUSTRIAL,0,0,0,0,0,0,0,0
PATRICIA HEIGHTS,"97,179",916,"60,465","8,874","8,700","29,319","11,745","3,306"
PEMBINA,"16,443",238,"14,355","4,698","1,392","5,133","1,740","1,392"
PILOT SOUND AREA WEST PORTION,0,0,0,0,0,0,0,0
PLACE LARUE,0,0,0,0,0,0,0,0
PLEASANTVIEW,"195,228","1,903","112,056","41,412","20,793","75,255","32,364","8,178"
POLLARD MEADOWS,"324,597","2,263","159,819","71,514","15,225","58,029","36,105","13,050"
POTTER GREENS,"94,047",774,"24,273","3,828","7,308",783,"2,262","1,218"
POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0,0
PRINCE CHARLES,"49,764",580,"37,149","4,524","2,697","18,357","6,177","3,393"
PRINCE RUPERT,"72,819",599,"49,677","10,875","9,831","24,708","8,874","3,393"
PYLYPOW INDUSTRIAL,0,0,0,0,0,0,0,0
QUEEN ALEXANDRA,"291,363","2,252","183,048","51,156","62,292","178,437","44,283","8,961"
QUEEN MARY PARK,"400,983","3,328","249,690","110,664","44,979","251,082","77,169","29,232"
QUESNELL HEIGHTS,"18,618",171,"9,831",696,"2,871",0,609,435
RAMPART INDUSTRIAL,0,0,0,0,0,0,0,0
RAMSAY HEIGHTS,"212,280","1,723","105,705","18,357","19,227","37,845","16,704","3,654"
RAPPERSWILL,0,0,0,0,0,0,0,0
RHATIGAN RIDGE,"189,573","1,658","98,571","14,355","25,056","2,697","10,353","2,175"
RICHFIELD,"234,204","1,668","136,764","37,758","12,267","45,936","23,664","7,134"
RICHFORD,"32,364",272,"14,268","1,653","4,611",522,"1,392",174
RIDEAU PARK,"99,528","1,018","48,459","12,615","8,874","37,236","12,093","4,176"
RIO TERRACE,"86,217",626,"38,280","2,784","5,916","1,479","4,524",870
