Neighbourhood Name,Bicycle,Car/Truck/Van (As Driver),Car/Truck/Van (As Passenger),Other,Transit,Walk,Owned,Rented,Edmonton Catholic,Edmonton Public,AGE,Female,Male,Catholic,Public
FULTON PLACE,"2,610","484,416","11,484","8,352","59,508","14,094","161,646","32,712","179,046","970,398","21,420","6,768","6,696","180,090","644,670"
GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
GAINER INDUSTRIAL,522,"62,118","1,044",0,"5,742","1,044","16,791","2,001","25,056","78,300","21,420",648,648,"40,716","105,966"
GARIEPY,522,"382,626","14,094","28,188","24,534","4,698","141,027","12,528","161,820","697,914","21,420","5,820","5,442","161,298","630,576"
GARNEAU,"38,106","597,168","19,836","21,924","283,968","369,576","140,853","580,203","455,184","3,252,060","21,420","28,356","28,506","305,892","2,095,308"
GARSIDE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
GIRARD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
GLASTONBURY,"3,132","1,413,576","39,150","29,754","118,494","11,484","413,076","70,035","860,778","1,904,778","21,420","18,270","17,610","864,432","1,955,934"
GLENGARRY,"1,566","477,630","34,974","16,704","91,350","29,232","177,915","69,948","468,234","970,398","21,420","8,766","8,694","402,462","923,940"
GLENORA,"16,704","686,952","20,358","30,276","75,690","15,660","231,942","52,374","343,476","1,165,104","21,420","10,788","10,236","368,532","1,130,652"
GLENWOOD,"6,264","875,916","51,678","26,100","251,604","51,678","196,620","212,019","665,550","1,602,540","21,420","14,286","14,634","570,546","1,390,086"
GOLD BAR,"4,176","597,168","19,836","17,748","80,388","23,490","163,473","80,214","288,666","1,161,450","21,420","8,364","8,658","191,574","767,340"
GORMAN,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
GRANDVIEW HEIGHTS,"8,352","159,210","2,610","7,830","22,968","3,132","75,864","3,654","44,370","272,484","21,420","2,940","2,754","56,898","366,966"
GRANVILLE,0,"52,722","2,088","1,566","5,742",0,"19,140",174,"25,056","81,954","21,420",672,660,"196,272","228,636"
GREENFIELD,"8,352","635,796","20,880","23,490","111,708","9,918","273,702","32,625","313,200","1,371,294","21,420","10,878","10,758","325,206","1,301,868"
GREENVIEW,"2,610","658,764","29,754","15,138","76,734","7,830","198,273","49,155","304,326","1,013,724","21,420","8,808","8,736","292,842","985,014"
GRIESBACH,"1,566","663,984","45,414","19,314","63,162","10,962","100,746","164,691","373,230","954,216","21,420","9,462","9,138","213,498","714,096"
GROVENOR,"10,440","515,214","26,622","10,962","69,426","16,182","138,156","49,764","211,410","703,134","21,420","7,236","6,858","208,278","703,134"
HADDOW,"3,132","940,644","33,408","19,836","76,212","7,308","338,865","24,882","611,262","1,504,926","21,420","13,320","12,732","565,326","1,483,524"
HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
HAIRSINE,522,"440,046","26,622","7,308","133,110","13,572","114,579","91,524","382,104","779,346","21,420","7,674","7,116","394,110","741,240"
HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
HAWKS RIDGE,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,"8,874","18,270"
HAZELDEAN,"17,748","597,690","37,062","24,012","105,966","31,842","138,069","104,487","209,322","1,094,112","21,420","8,778","9,096","257,868","1,040,346"
HENDERSON ESTATES,522,"384,192","10,962","30,276","27,144",522,"152,859","1,914","231,768","654,588","21,420","5,592","5,766","232,812","644,148"
HERITAGE VALLEY AREA,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
HERITAGE VALLEY AREA EAST,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
HERITAGE VALLEY TOWN CENTRE AREA,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
HIGH PARK,"2,610","304,848","17,226","8,352","43,326","4,176","87,783","22,881","164,952","456,228","21,420","3,822","4,386","102,312","382,626"
HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
HIGHLANDS,"6,786","556,974","24,534","27,144","93,960","12,528","172,782","49,503","176,958","813,798","21,420","7,938","7,674","230,202","991,278"
HILLVIEW,"3,654","665,028","34,452","8,874","93,438","22,446","186,528","83,259","228,114","1,028,862","21,420","10,068","10,560","357,570","1,290,384"
HODGSON,522,"553,842","21,924","19,836","69,426","3,654","196,533","20,967","215,064","1,044,000","21,420","7,932","7,956","236,988","893,664"
HOLLICK-KENYON,"1,044","1,214,694","38,628","25,578","128,934","7,308","417,339","24,708","827,892","1,673,532","21,420","15,318","15,888","738,108","1,659,438"
HOLYROOD,"11,484","707,310","26,100","10,962","111,186","14,616","176,436","101,442","261,522","1,282,032","21,420","10,008","9,972","278,226","1,136,394"
HOMESTEADER,522,"581,508","27,144","13,050","110,664","22,968","136,590","138,069","500,076","931,770","21,420","10,044","9,594","550,188","1,041,390"
HUDSON,"1,044","434,826","31,842","3,132","21,924","4,698","136,938","26,448","356,004","612,828","21,420","5,988","6,108","274,572","466,668"
HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
IDYLWYLDE,"5,742","302,238","16,182","10,962","80,910","14,616","84,825","64,032","175,392","667,638","21,420","5,568","5,064","140,418","473,976"
INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
INGLEWOOD,"23,490","932,814","98,658","37,584","381,060","63,162","134,937","387,846","602,388","2,437,740","21,420","18,012","19,554","626,400","1,516,410"
JACKSON HEIGHTS,522,"832,590","40,194","19,836","62,118","3,132","307,980","21,663","405,594","1,397,916","21,420","11,460","12,096","426,996","1,477,782"
JAMIESON PLACE,"2,088","870,696","25,056","21,924","77,256","10,440","299,541","19,749","493,290","1,384,344","21,420","12,018","11,454","498,510","1,275,246"
JASPER PARK,"2,088","136,242","7,830","1,044","32,886","4,176","62,988","52,026","121,626","530,352","21,420","5,718","5,274","178,524","543,402"
KAMEYOSEK,"1,566","410,292","29,754","12,528","110,664","22,446","113,796","116,667","269,352","896,274","21,420","9,264","8,112","242,730","887,400"
KEHEEWIN,"1,566","547,578","7,308","13,572","99,180","6,264","185,397","51,069","254,214","1,106,640","21,420","9,066","8,142","266,220","883,224"
KENILWORTH,"8,352","465,102","24,534","13,050","57,420","15,138","167,823","39,411","249,516","878,526","21,420","7,458","7,422","267,264","812,232"
KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
KENSINGTON,"4,698","535,050","41,760","15,660","81,432","18,792","203,667","89,523","408,204","1,267,938","21,420","10,770","10,146","472,932","1,153,098"
KERNOHAN,"2,088","607,608","24,534","27,666","114,840","10,440","205,059","47,415","538,182","840,942","21,420","9,444","8,952","535,050","868,608"
KILDARE,"2,088","410,814","30,798","13,050","85,608","11,484","128,760","87,957","290,754","691,650","21,420","8,676","7,488","378,972","920,808"
KILKENNY,"3,654","1,043,478","40,716","16,704","213,498","23,490","298,410","188,442","825,804","1,945,494","21,420","16,794","17,424","757,944","1,821,780"
KILLARNEY,"5,742","681,210","53,244","17,226","195,750","29,754","119,886","218,544","494,334","1,372,860","21,420","11,820","12,108","495,378","1,296,126"
KING EDWARD PARK,"30,276","796,050","39,150","27,666","185,310","39,672","173,130","159,906","307,458","1,355,634","21,420","11,958","13,326","333,558","1,298,214"
KINISKI GARDENS,"3,132","1,540,422","82,998","24,012","139,896","14,094","482,676","66,033","848,772","2,353,176","21,420","19,386","20,442","855,558","2,286,360"
KINOKAMAU PLAINS AREA,0,"10,440",522,522,0,"1,044","5,394","1,305","13,572","12,006","21,420",294,342,"13,572","37,584"
KIRKNESS,522,"724,014","31,320","12,006","173,826","6,264","194,619","114,579","427,518","1,330,056","21,420","11,442","10,980","490,680","1,348,848"
KLARVATTEN,"1,044","1,110,816","43,848","13,050","109,620","3,132","366,009","25,143","831,546","1,143,180","21,420","14,232","14,502","970,398","1,496,574"
LA PERLE,"2,610","933,336","58,464","22,446","123,714","33,930","264,219","145,725","580,464","1,537,290","21,420","15,660","14,976","629,010","1,615,590"
LAGO LINDO,"1,566","948,996","44,370","8,874","109,620","8,874","300,237","39,324","717,228","1,290,384","21,420","11,832","12,054","674,424","1,215,738"
LAKE DISTRICT NORTH EAST PORTION,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
LAMBTON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
LANSDOWNE,"7,308","204,624","6,264","5,220","50,112","7,308","67,512","31,407","81,432","451,530","21,420","3,510","3,774","73,080","349,740"
LARKSPUR,"1,566","1,175,544","51,156","30,798","94,482","12,528","370,707","42,717","556,974","1,813,428","21,420","14,664","15,012","474,498","1,757,574"
LAUDERDALE,"1,566","471,366","34,452","10,962","79,866","17,226","124,323","104,400","292,842","932,814","21,420","7,668","8,598","262,566","643,104"
LAUREL,0,"383,148","38,628","1,044","41,760","2,088","108,663","28,536","164,430","544,968","21,420","4,536","5,100","485,460","1,346,760"
LAURIER HEIGHTS,"13,050","477,630","10,962","22,968","41,238","6,264","186,963","7,917","243,252","734,454","21,420","8,538","7,302","293,364","949,518"
LEE RIDGE,522,"508,950","15,138","8,352","151,902","9,918","133,632","101,703","278,226","1,126,998","21,420","8,520","7,914","305,370","1,091,502"
LEGER,522,"523,566","12,006","13,572","64,728","4,176","192,183","17,400","348,174","882,180","21,420","7,794","7,554","342,954","802,836"
LENDRUM PLACE,"12,006","271,440","15,660","15,138","92,916","18,792","107,532","41,151","126,846","732,366","21,420","5,646","5,664","104,400","551,754"
LEWIS FARMS INDUSTRIAL,0,"8,874",522,522,0,522,"3,828","1,044","1,566","20,358","21,420",192,258,"3,654","20,880"
LORELEI,522,"737,064","38,106","14,616","110,142","9,396","231,420","100,137","574,200","1,300,302","21,420","11,820","12,288","508,950","1,176,066"
LYMBURN,"2,610","1,290,384","66,294","24,534","223,938","21,924","382,452","106,488","883,746","1,930,878","21,420","17,892","17,604","797,616","1,904,778"
LYNNWOOD,"4,698","553,842","36,540","19,836","206,712","25,056","135,546","140,853","373,752","1,094,112","21,420","9,660","10,086","381,060","1,004,328"
MACEWAN,"2,610","1,350,414","45,414","29,232","195,228","18,792","357,048","116,841","542,358","2,186,136","21,420","16,560","17,172","577,854","1,609,848"
MACTAGGART,522,"353,916","12,528","13,572","17,226",522,"127,455","6,612","208,800","562,716","21,420","4,956","5,118","330,948","747,504"
MAGRATH HEIGHTS,522,"580,986","12,006","22,968","48,024","5,742","216,108","17,139","314,244","991,800","21,420","8,472","8,298","367,488","1,064,358"
MALMO PLAINS,"10,962","353,916","15,660","15,660","131,544","11,484","113,622","159,384","222,372","1,166,670","21,420","10,068","9,726","139,896","1,012,158"
MAPLE,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,"35,496","91,350"
MAPLE RIDGE,"3,132","355,482","41,238","2,088","32,364","6,264","121,539","10,440","142,506","542,358","21,420","4,956","5,292","176,958","711,486"
MAPLE RIDGE INDUSTRIAL,0,"15,138","1,044",0,522,"1,566","4,002",783,"4,176","26,622","21,420",162,204,"1,044","27,144"
MATT BERRY,522,"843,552","28,188","10,440","101,790","5,742","309,372","19,749","651,978","1,201,644","21,420","12,258","12,096","684,342","1,255,410"
MAYFIELD,"3,132","436,914","25,056","14,094","51,156","14,094","126,672","34,713","243,774","685,908","21,420","5,724","6,072","185,310","553,842"
MAYLIEWAN,"2,610","944,298","45,936","18,270","71,514","6,786","340,431","16,791","816,408","1,187,028","21,420","12,738","12,456","713,574","1,256,454"
MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
MCCAULEY,"8,352","321,552","25,056","8,874","162,342","60,552","89,958","198,795","334,602","873,306","21,420","8,382","12,690","480,240","1,063,314"
MCCONACHIE AREA,0,"192,618","8,874","5,220","29,754",0,"67,686","2,088","163,386","207,756","21,420","2,634","2,748","435,870","751,158"
MCINTYRE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
MCKERNAN,"27,666","276,138","12,528","7,308","132,588","73,602","83,085","139,287","119,016","987,624","21,420","7,764","9,108","106,488","797,094"
MCLEOD,"4,176","482,850","22,446","4,698","70,992","3,132","182,265","16,530","405,072","768,906","21,420","6,720","7,134","382,104","736,020"
MCNAMARA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
MCQUEEN,"4,176","218,718","9,396","16,704","32,364","16,182","74,907","52,113","90,306","510,516","21,420","5,094","4,968","125,280","532,962"
MEADOWLARK PARK,"2,088","433,260","9,396","19,836","53,766","17,226","183,222","29,667","169,128","601,866","21,420","8,088","7,500","239,076","833,112"
MEADOWS AREA,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
MENISA,"1,044","598,212","39,672","17,748","76,734","7,308","175,566","37,584","229,680","790,308","21,420","7,566","7,698","258,912","920,808"
MEYOKUMIN,"2,610","536,094","32,886","10,962","81,954","18,792","159,471","59,421","323,640","954,738","21,420","8,118","9,192","310,590","981,360"
MEYONOHK,"4,176","584,640","36,540","14,094","107,010","14,094","169,476","52,635","310,068","1,013,202","21,420","8,994","8,598","282,924","1,050,264"
MICHAELS PARK,"2,610","466,668","19,314","10,962","86,130","10,440","137,199","52,461","224,460","911,934","21,420","6,660","6,546","279,270","795,006"
MILL CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
MILL WOODS GOLF COURSE,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
MILL WOODS PARK,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
MILL WOODS TOWN CENTRE,0,"165,474","13,572",0,"43,326","8,874","45,936","47,937","103,356","401,940","21,420","3,786","2,748","103,356","390,456"
MILLER,0,"604,476","29,232","11,484","113,796","3,654","205,755","42,021","476,064","973,530","21,420","9,396","8,430","430,650","941,688"
MINCHAU,"2,610","672,858","50,112","14,616","81,954","7,308","187,920","62,466","306,936","1,101,420","21,420","9,054","9,552","340,344","1,185,462"
MISTATIM INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
MITCHELL INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
MONTROSE,"5,742","585,684","32,886","11,484","134,676","19,314","148,770","109,881","303,282","1,207,908","21,420","9,114","10,320","345,564","828,414"
MORIN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",12,12,0,0
MORRIS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
NEWTON,"4,176","555,408","30,798","8,874","117,450","13,572","171,129","55,245","605,520","791,352","21,420","8,322","9,138","488,070","820,584"
NORTH GLENORA,"12,528","410,292","25,056","8,352","64,206","21,402","115,101","49,764","162,864","587,772","21,420","6,132","5,940","179,046","730,278"
NORTHMOUNT,"1,566","519,390","26,622","5,220","86,130","18,792","195,315","51,591","523,566","934,380","21,420","8,736","8,718","496,944","767,340"
NORWESTER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
OGILVIE RIDGE,"1,566","215,064","6,264","4,698","10,440",522,"77,343","2,436","100,224","356,526","21,420","3,012","2,994","108,054","354,960"
OLESKIW,"3,654","666,594","13,050","31,842","20,880","2,088","241,164","10,440","374,274","1,121,256","21,420","9,192","8,772","394,632","1,018,422"
OLIVER,"84,042","2,532,744","147,726","77,256","1,177,632","818,496","448,224","1,061,922","1,451,160","5,555,124","21,420","53,418","54,804","1,507,536","5,068,620"
ORMSBY PLACE,"3,654","1,130,130","62,640","31,842","170,694","21,924","327,033","119,712","634,752","1,795,158","21,420","16,290","15,576","743,850","1,706,940"
OTTEWELL,"13,050","1,081,062","41,760","20,880","166,518","51,678","376,101","106,140","614,916","2,152,728","21,420","18,048","17,070","667,638","1,872,414"
OVERLANDERS,"1,044","610,740","40,716","10,440","136,242","5,742","74,298","157,731","335,646","863,910","21,420","8,322","8,844","307,980","955,260"
OXFORD,522,"742,806","43,848","16,704","56,898","2,610","264,915","21,576","634,752","957,348","21,420","10,020","10,374","465,624","826,326"
OZERNA,"1,044","946,386","43,326","16,704","99,702",522,"351,915","25,578","749,592","1,245,492","21,420","13,104","13,866","778,824","1,310,742"
PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
PARKALLEN,"26,622","387,846","12,006","5,742","144,072","45,936","120,147","66,120","126,324","935,946","21,420","6,594","6,696","101,790","672,858"
PARKDALE,"4,176","481,284","26,100","11,484","170,172","20,880","144,246","110,403","417,600","1,103,508","21,420","8,898","10,230","476,064","1,039,302"
PARKVIEW,"12,006","648,846","20,880","33,408","58,986","19,314","258,129","24,534","461,970","1,096,722","21,420","10,440","9,564","483,894","1,141,092"
PARSONS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
PATRICIA HEIGHTS,"4,176","357,570","17,748","1,566","70,470","7,308","80,214","68,121","176,958","583,074","21,420","5,496","5,010","146,160","514,692"
PEMBINA,"1,044","113,274","2,610","1,566","10,440","7,308","28,710","10,614","57,420","98,658","21,420","1,428","1,608","53,766","113,796"
PLACE LARUE,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
PLEASANTVIEW,"15,138","550,710","41,238","19,314","194,184","47,502","157,731","143,028","235,944","1,171,368","21,420","11,418","11,064","365,400","1,260,630"
POLLARD MEADOWS,"1,044","928,638","51,678","13,572","216,630","15,660","228,984","159,210","325,206","1,947,582","21,420","13,578","13,788","362,268","1,488,222"
POTTER GREENS,522,"351,306","13,572","13,572","13,572",522,"128,586","2,001","202,014","564,282","21,420","4,644","4,476","220,806","532,440"
POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
PRINCE CHARLES,"1,566","239,076","7,308","5,220","37,062","3,132","63,771","39,063","76,734","298,584","21,420","3,480","4,188","182,700","466,668"
PRINCE RUPERT,"4,176","252,126","17,748","8,352","53,244","24,534","59,682","48,198","167,562","436,914","21,420","3,594","4,320","102,834","302,238"
PYLYPOW INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
QUEEN ALEXANDRA,"42,804","637,884","25,578","24,012","265,698","151,902","93,003","287,100","192,618","1,748,178","21,420","13,512","14,556","296,496","1,408,878"
QUEEN MARY PARK,"24,012","1,073,232","79,866","32,364","463,014","167,562","144,159","458,490","899,928","2,405,898","21,420","19,968","24,252","582,030","1,611,414"
QUESNELL HEIGHTS,522,"67,338","1,044",0,"3,654","2,088","29,580",0,"25,056","111,708","21,420","1,026","1,050","48,546","137,808"
RAMPART INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RAMSAY HEIGHTS,"6,264","674,424","28,710","34,974","100,224","8,352","213,759","73,515","408,726","1,273,680","21,420","10,338","9,756","347,130","1,039,824"
RAPPERSWILL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,"138,852","287,100"
RHATIGAN RIDGE,"3,132","640,494","12,006","14,616","62,118","9,396","266,916","9,483","460,926","1,137,438","21,420","9,948","9,564","338,256","1,084,716"
RICHFIELD,"4,176","583,074","29,232","13,050","141,984","15,660","129,195","155,034","295,452","1,405,224","21,420","10,008","9,756","358,614","1,371,294"
RICHFORD,522,"105,444","3,132","2,088","8,352",522,"41,673","1,131","31,320","194,184","21,420","1,632","1,548","44,892","222,894"
RIDEAU PARK,"4,176","272,484","15,138","7,830","72,558","19,314","75,777","66,642","142,506","597,168","21,420","6,108","5,166","157,644","665,550"
RIO TERRACE,"2,610","258,390","5,220","18,270","27,144","2,610","105,096","4,872","133,632","517,302","21,420","3,756","4,074","145,638","483,894"
RITCHIE,"32,886","752,202","32,886","33,408","240,642","55,854","173,565","154,164","323,118","1,444,896","21,420","12,282","12,804","335,124","1,361,898"
RIVER VALLEY CAMERON,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY GLENORA,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY GOLD BAR,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY HERMITAGE,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY HIGHLANDS,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY KINNAIRD,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY LAURIER,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY MAYFAIR,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY OLESKIW,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY RUNDLE,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY VICTORIA,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY WALTERDALE,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY WHITEMUD,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVER VALLEY WINDERMERE,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
RIVERDALE,"19,314","429,606","16,704","1,566","79,866","73,080","113,709","56,202","188,442","756,900","21,420","6,150","5,730","176,958","751,680"
ROPER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
ROSEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
ROSSDALE,"1,566","160,254","8,874","1,566","33,408","42,804","40,977","28,797","65,250","285,012","21,420","2,262","2,652","57,942","308,502"
ROSSLYN,0,"511,560","20,358","6,786","58,464","6,786","154,686","76,734","302,238","1,041,390","21,420","8,184","8,268","264,132","946,908"
ROYAL GARDENS,"7,830","541,836","25,578","27,144","169,650","14,094","152,685","143,811","310,068","1,210,518","21,420","10,770","10,062","326,772","1,025,208"
RUNDLE HEIGHTS,"1,044","527,220","35,496","7,308","106,488","22,446","93,525","176,175","340,866","1,068,012","21,420","10,002","10,152","368,532","1,169,280"
RURAL NORTH EAST HORSE HILL,0,"43,326",0,"1,566",522,"4,176","15,138","1,653","14,094","78,300","21,420",618,672,"19,836","97,614"
RURAL NORTH EAST NORTH STURGEON,0,"30,798","1,044","1,044","1,044","3,132","10,788","2,262","13,050","61,596","21,420",492,558,"12,006","73,602"
RURAL NORTH EAST SOUTH STURGEON,0,"145,638","2,610","2,088","5,742","4,698","46,632","2,523","156,600","128,934","21,420","1,806","1,818","143,028","186,354"
