Neighbourhood Name,Bicycle,Car/Truck/Van (As Driver),Car/Truck/Van (As Passenger),Other,Transit,Walk,Owned,Rented,Edmonton Catholic,Edmonton Public,AGE,Female,Male,Catholic,Public
WEINLOS,"1,044","707,310","47,502","11,484","97,614","16,182","208,887","78,126","300,672","1,296,648","21,420","10,254","10,338","252,126","1,299,780"
WEIR INDUSTRIAL,0,"15,138","1,044",522,"1,044","2,610","4,698","1,305","4,176","31,842","21,420",174,318,"6,786","28,710"
WELLINGTON,"5,220","661,896","37,584","2,610","88,740","24,534","164,082","99,876","416,556","959,958","21,420","8,808","9,954","472,410","853,992"
WEST JASPER PLACE,"4,698","450,486","24,012","7,830","168,084","21,402","87,435","153,555","290,754","881,136","21,420","8,424","9,192","351,828","796,572"
WEST MEADOWLARK PARK,"5,742","489,636","45,936","12,006","117,972","81,432","144,246","92,742","262,566","671,814","21,420","9,000","8,640","451,530","969,354"
WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
WESTBROOK ESTATES,522,"212,976","6,264","8,352","33,930","2,088","67,947","34,191","84,042","509,994","21,420","3,678","3,672","86,652","456,228"
WESTMOUNT,"32,364","1,015,290","43,326","22,446","263,088","78,300","275,007","192,183","333,036","1,226,178","21,420","17,790","17,538","377,406","1,597,842"
WESTRIDGE,"1,566","265,698","5,742","14,616","13,050","3,132","112,056",783,"145,638","480,762","21,420","4,062","3,900","146,682","516,780"
WESTVIEW VILLAGE,0,"547,578","16,704","7,308","41,760","7,308","175,914","14,094","180,090","814,320","21,420","6,576","6,876","139,374","590,904"
WESTWOOD,"6,264","458,838","45,936","14,094","174,348","39,150","54,723","205,929","300,672","1,162,494","21,420","8,304","10,722","212,454","922,374"
WHITE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
WILD ROSE,"1,044","1,748,700","95,004","28,710","124,236","9,918","617,265","43,761","840,420","2,803,662","21,420","23,664","24,402","858,168","2,684,646"
WILSON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
WINDERMERE,0,"518,868","21,402","10,440","27,666","4,698","171,216","5,829","235,422","637,362","21,420","6,270","6,546","598,212","1,599,408"
WINDERMERE AREA,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
WINDSOR PARK,"6,786","137,808","2,610","5,220","27,666","79,866","81,606","24,621","69,948","503,208","21,420","3,594","3,918","68,904","543,924"
WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
WINTERBURN INDUSTRIAL AREA WEST,0,"1,044",0,0,0,"1,566",435,348,"1,044","1,044","21,420",42,60,0,"5,220"
WOODCROFT,"6,264","396,198","25,056","9,918","79,344","25,056","99,267","123,366","290,754","976,140","21,420","8,466","7,086","344,520","731,322"
YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
YORK,"2,610","659,808","57,942","18,792","164,952","30,276","192,183","131,109","570,024","1,241,316","21,420","11,310","11,640","597,168","1,252,278"
YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,"21,420",0,0,0,0
